"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка что нельзя создать дубликат пользователя","534","Нельзя создать пользователя с существующим email","tests","2025-12-02","passed","2025-12-02","TestUserCreation","test_user_creation","",""
"Проверка валидации обязательного поля email","413","Нельзя создать пользователя без email","tests","2025-12-02","passed","2025-12-02","TestUserCreation","test_user_creation","",""
"Проверка успешного создания заказа с авторизацией","3345","Авторизованный пользователь может создать заказ","tests","2025-12-02","passed","2025-12-02","TestOrderCreation","test_order_creation","",""
"Проверка валидации - заказ должен иметь ингредиенты","462","Нельзя создать заказ без ингредиентов","tests","2025-12-02","passed","2025-12-02","TestOrderCreation","test_order_creation","",""
"Проверка что неправильный email приводит к ошибке","390","Нельзя авторизоваться с неправильным email","tests","2025-12-02","passed","2025-12-02","TestUserLogin","test_user_login","",""
"Проверка валидации обязательного поля пароль","379","Нельзя создать пользователя без пароля","tests","2025-12-02","passed","2025-12-02","TestUserCreation","test_user_creation","",""
"Проверка что заказ можно создать без авторизации","388","Неавторизованный пользователь может создать заказ","tests","2025-12-02","passed","2025-12-02","TestOrderCreation","test_order_creation","",""
"Проверка успешной авторизации","0","Пользователь может авторизоваться с валидными данными","tests","2025-12-02","passed","2025-12-02","TestUserLogin","test_user_login","",""
"Проверка валидации пустого пароля","493","Нельзя авторизоваться с пустым паролем","tests","2025-12-02","passed","2025-12-02","TestUserLogin","test_user_login","",""
"Проверка что невалидный хеш ингредиента приводит к ошибке","385","Нельзя создать заказ с невалидным ингредиентом","tests","2025-12-02","passed","2025-12-02","TestOrderCreation","test_order_creation","",""
"Проверка валидации пустого email","471","Нельзя авторизоваться с пустым email","tests","2025-12-02","passed","2025-12-02","TestUserLogin","test_user_login","",""
"Проверка создания заказа с минимальным составом","411","Можно создать заказ с одним ингредиентом","tests","2025-12-02","passed","2025-12-02","TestOrderCreation","test_order_creation","",""
"Проверка успешной регистрации пользователя","473","Пользователя можно создать с валидными данными","tests","2025-12-02","passed","2025-12-02","TestUserCreation","test_user_creation","",""
"Проверка что один невалидный ингредиент портит весь заказ","412","Нельзя создать заказ с валидным и невалидным ингредиентом","tests","2025-12-02","passed","2025-12-02","TestOrderCreation","test_order_creation","",""
"Проверка валидации обязательного поля имя","365","Нельзя создать пользователя без имени","tests","2025-12-02","passed","2025-12-02","TestUserCreation","test_user_creation","",""
